Customer_ID,Blue's Rating,Rating Given,Company Chosen,Starting Location,Ending Location,Started Time,Ending Time,Unavailable Scooter,Breakdown,Breakdown Time
527,0.476596782,0,1,Manhattan,Jones,524,581,FALSE,TRUE,529
468,0.483062517,8,0,Stony,Jones,467,530,FALSE,FALSE,0
492,0.48029819,9,0,Stony,Queens,487,530,FALSE,FALSE,0
450,0.481574539,8,1,Manhattan,Jones,454,531,FALSE,FALSE,0
503,0.47804266,2,1,Queens,Manhattan,504,608,FALSE,TRUE,531
416,0.47961279,9,0,Manhattan,Queens,426,532,FALSE,FALSE,0
486,0.481801025,9,0,Stony,Queens,480,532,FALSE,FALSE,0
496,0.481136951,9,0,Queens,Stony,494,532,FALSE,FALSE,0
521,0.475922757,1,1,Manhattan,Queens,519,600,FALSE,TRUE,532
535,0.47575392,0,0,Manhattan,Queens,531,610,TRUE,FALSE,0
505,0.476965448,3,1,Queens,Manhattan,505,576,FALSE,TRUE,533
479,0.485994017,8,1,Jones,Manhattan,475,535,FALSE,FALSE,0
482,0.482842475,8,1,Manhattan,Jones,477,542,FALSE,TRUE,535
428,0.48028777,9,1,Manhattan,Queens,438,536,FALSE,FALSE,0
432,0.479873491,9,1,Stony,Jones,440,538,FALSE,FALSE,0
474,0.482475356,9,1,Jones,Manhattan,471,543,FALSE,TRUE,542
437,0.483305037,8,0,Manhattan,Queens,444,543,FALSE,FALSE,0
485,0.481801025,9,1,Jones,Manhattan,478,544,FALSE,FALSE,0
507,0.476011994,5,1,Jones,Stony,506,579,FALSE,TRUE,544
501,0.479245283,6,0,Jones,Stony,502,573,FALSE,TRUE,545
512,0.476011994,3,1,Queens,Manhattan,511,599,FALSE,TRUE,545
547,0.473237444,0,0,Manhattan,Jones,544,607,TRUE,FALSE,0
447,0.482112912,9,0,Jones,Stony,452,546,FALSE,FALSE,0
454,0.48294982,8,0,Queens,Manhattan,459,546,FALSE,FALSE,0
514,0.475764355,8,0,Stony,Queens,512,546,FALSE,FALSE,0
548,0.473647059,0,0,Manhattan,Queens,545,633,TRUE,FALSE,0
519,0.475281449,4,0,Manhattan,Queens,517,598,FALSE,TRUE,550
498,0.47750953,9,0,Jones,Manhattan,498,551,FALSE,FALSE,0
518,0.475281449,9,0,Stony,Queens,516,551,FALSE,FALSE,0
473,0.482475356,8,1,Queens,Manhattan,471,553,FALSE,FALSE,0
483,0.482842475,8,0,Stony,Jones,477,553,FALSE,FALSE,0
523,0.476945596,6,1,Manhattan,Jones,520,576,FALSE,TRUE,555
530,0.474745022,9,0,Queens,Stony,527,558,FALSE,FALSE,0
504,0.47804266,9,0,Stony,Jones,504,559,FALSE,FALSE,0
517,0.475281449,9,0,Queens,Stony,516,559,FALSE,FALSE,0
443,0.482517483,9,0,Manhattan,Queens,450,562,FALSE,FALSE,0
478,0.485994017,8,1,Queens,Manhattan,475,585,FALSE,TRUE,564
565,0.483122847,0,0,Manhattan,Queens,563,636,TRUE,FALSE,0
487,0.480589023,9,1,Jones,Stony,483,567,FALSE,FALSE,0
520,0.475281449,8,0,Queens,Stony,518,568,FALSE,FALSE,0
500,0.479245283,8,0,Manhattan,Queens,502,571,FALSE,FALSE,0
502,0.47804266,8,1,Manhattan,Jones,504,571,FALSE,FALSE,0
511,0.476011994,8,0,Manhattan,Jones,511,571,FALSE,FALSE,0
525,0.476596782,9,0,Stony,Queens,522,571,FALSE,FALSE,0
531,0.474745022,9,0,Jones,Manhattan,529,571,FALSE,FALSE,0
569,0.482191781,0,0,Manhattan,Jones,570,615,TRUE,FALSE,0
538,0.478687739,8,0,Stony,Queens,534,574,FALSE,FALSE,0
526,0.476596782,8,0,Jones,Stony,523,576,FALSE,FALSE,0
499,0.47819511,9,1,Jones,Manhattan,500,577,FALSE,FALSE,0
508,0.476011994,8,1,Manhattan,Queens,508,578,FALSE,FALSE,0
515,0.477193852,9,0,Manhattan,Jones,513,578,FALSE,FALSE,0
582,0.486335125,0,0,Manhattan,Jones,578,632,TRUE,FALSE,0
583,0.486335125,0,0,Manhattan,Queens,579,641,TRUE,FALSE,0
534,0.476904474,8,0,Queens,Stony,530,583,FALSE,FALSE,0
545,0.474821853,9,1,Queens,Stony,541,584,FALSE,FALSE,0
584,0.487254025,0,0,Manhattan,Queens,583,667,TRUE,FALSE,0
543,0.474821853,8,0,Jones,Manhattan,540,585,FALSE,FALSE,0
489,0.479049907,8,0,Queens,Manhattan,484,586,FALSE,FALSE,0
587,0.487190911,0,0,Queens,Stony,585,625,TRUE,FALSE,0
491,0.479049907,9,0,Queens,Manhattan,486,588,FALSE,FALSE,0
591,0.48810318,0,0,Queens,Stony,587,623,TRUE,FALSE,0
593,0.48912561,0,0,Queens,Stony,588,619,TRUE,FALSE,0
559,0.47881454,8,1,Queens,Stony,557,591,FALSE,FALSE,0
557,0.47881454,9,0,Stony,Queens,555,592,FALSE,FALSE,0
596,0.488258751,0,0,Queens,Stony,591,630,TRUE,FALSE,0
600,0.489277029,0,0,Queens,Manhattan,593,661,TRUE,FALSE,0
524,0.476945596,8,0,Stony,Jones,520,595,FALSE,FALSE,0
551,0.476725146,8,1,Stony,Queens,549,596,FALSE,FALSE,0
506,0.476011994,9,0,Manhattan,Queens,506,597,FALSE,FALSE,0
540,0.476860687,8,0,Queens,Manhattan,535,597,FALSE,FALSE,0
603,0.489314827,0,0,Queens,Stony,596,647,TRUE,FALSE,0
542,0.474821853,8,1,Manhattan,Jones,538,598,FALSE,FALSE,0
529,0.474745022,9,1,Manhattan,Jones,526,600,FALSE,FALSE,0
549,0.476725146,8,0,Jones,Manhattan,546,600,FALSE,FALSE,0
564,0.483122847,8,0,Queens,Stony,562,600,FALSE,FALSE,0
555,0.47948064,8,0,Queens,Stony,553,602,FALSE,FALSE,0
533,0.476904474,9,1,Manhattan,Jones,530,603,FALSE,FALSE,0
536,0.479031872,8,1,Jones,Stony,532,603,FALSE,FALSE,0
609,0.492060039,0,0,Queens,Manhattan,602,684,TRUE,FALSE,0
522,0.475922757,9,1,Jones,Stony,519,605,FALSE,FALSE,0
546,0.474804826,8,0,Jones,Manhattan,543,606,FALSE,FALSE,0
509,0.476011994,8,0,Queens,Manhattan,509,607,FALSE,FALSE,0
528,0.476596782,9,0,Jones,Stony,524,607,FALSE,FALSE,0
539,0.476860687,9,1,Manhattan,Queens,535,608,FALSE,FALSE,0
554,0.479404236,9,0,Jones,Manhattan,551,608,FALSE,FALSE,0
510,0.476011994,8,0,Queens,Manhattan,510,609,FALSE,FALSE,0
606,0.490359334,1,0,Queens,Manhattan,599,695,FALSE,TRUE,609
573,0.485300769,8,0,Queens,Stony,573,613,FALSE,FALSE,0
598,0.489277029,4,0,Queens,Stony,592,639,FALSE,TRUE,613
532,0.474745022,9,0,Stony,Jones,529,614,FALSE,FALSE,0
579,0.487156377,9,0,Queens,Stony,576,616,FALSE,FALSE,0
553,0.479404236,7,1,Queens,Manhattan,551,645,FALSE,TRUE,617
617,0.493048128,0,1,Manhattan,Jones,611,680,FALSE,TRUE,617
552,0.479404236,9,0,Manhattan,Jones,551,618,FALSE,FALSE,0
541,0.476860687,9,1,Jones,Stony,535,619,FALSE,FALSE,0
567,0.482191781,8,0,Stony,Queens,568,619,FALSE,FALSE,0
566,0.482236993,8,0,Stony,Jones,566,621,FALSE,FALSE,0
558,0.47881454,9,0,Jones,Stony,556,624,FALSE,FALSE,0
572,0.485300769,7,1,Manhattan,Jones,573,643,FALSE,TRUE,624
577,0.486230248,9,0,Stony,Queens,574,624,FALSE,FALSE,0
580,0.486170452,8,0,Manhattan,Jones,577,624,FALSE,FALSE,0
619,0.494346064,1,1,Jones,Stony,613,700,FALSE,TRUE,624
560,0.479898336,8,0,Manhattan,Queens,558,625,FALSE,FALSE,0
629,0.49916318,0,1,Manhattan,Jones,624,675,FALSE,TRUE,626
570,0.482191781,8,1,Stony,Jones,570,627,FALSE,FALSE,0
581,0.486170452,5,1,Stony,Jones,577,672,FALSE,TRUE,627
604,0.489314827,3,1,Jones,Stony,596,686,FALSE,TRUE,627
576,0.486230248,8,0,Jones,Stony,574,630,FALSE,FALSE,0
599,0.489277029,6,0,Jones,Stony,592,654,FALSE,TRUE,630
575,0.486230248,8,0,Queens,Stony,574,631,FALSE,FALSE,0
586,0.487190911,9,1,Manhattan,Jones,585,639,FALSE,TRUE,634
537,0.478687739,8,0,Queens,Manhattan,533,635,FALSE,FALSE,0
561,0.482052462,9,1,Stony,Jones,559,635,FALSE,FALSE,0
550,0.476725146,8,0,Queens,Manhattan,547,636,FALSE,FALSE,0
597,0.488258751,9,0,Stony,Queens,591,637,FALSE,FALSE,0
562,0.482052462,6,1,Manhattan,Queens,561,676,FALSE,TRUE,638
571,0.485300769,8,1,Stony,Jones,572,651,FALSE,TRUE,641
602,0.489314827,9,1,Manhattan,Jones,596,644,FALSE,FALSE,0
640,0.499689762,1,1,Jones,Stony,634,692,FALSE,TRUE,645
556,0.47948064,8,1,Stony,Jones,553,646,FALSE,FALSE,0
578,0.486230248,9,1,Jones,Stony,575,647,FALSE,TRUE,646
607,0.491174548,9,1,Queens,Stony,601,646,FALSE,FALSE,0
589,0.48810318,6,1,Queens,Manhattan,586,683,FALSE,TRUE,647
592,0.48810318,8,1,Jones,Stony,587,647,FALSE,FALSE,0
608,0.492060039,9,0,Manhattan,Jones,602,647,FALSE,FALSE,0
612,0.490174908,8,1,Queens,Stony,606,647,FALSE,FALSE,0
568,0.482191781,9,1,Stony,Jones,569,650,FALSE,FALSE,0
594,0.48912561,8,1,Queens,Manhattan,589,650,FALSE,FALSE,0
616,0.493048128,8,0,Jones,Manhattan,610,658,FALSE,TRUE,650
627,0.497260851,5,1,Queens,Stony,623,670,FALSE,TRUE,650
657,0.494949495,0,0,Queens,Manhattan,649,730,TRUE,FALSE,0
544,0.474821853,8,1,Manhattan,Queens,541,653,FALSE,FALSE,0
588,0.487190911,9,1,Jones,Manhattan,585,653,FALSE,FALSE,0
615,0.493048128,9,1,Manhattan,Jones,610,654,FALSE,FALSE,0
622,0.496504978,9,0,Stony,Queens,618,654,FALSE,FALSE,0
624,0.497260851,8,0,Queens,Stony,621,655,FALSE,FALSE,0
590,0.48810318,8,0,Manhattan,Jones,587,657,FALSE,FALSE,0
605,0.491220369,8,1,Jones,Manhattan,597,657,FALSE,FALSE,0
659,0.493574297,0,1,Manhattan,Queens,651,748,FALSE,TRUE,657
601,0.490178768,9,0,Jones,Stony,595,659,FALSE,FALSE,0
610,0.489292667,9,1,Stony,Queens,605,660,FALSE,FALSE,0
620,0.495315162,9,1,Queens,Stony,614,661,FALSE,FALSE,0
563,0.482052462,9,0,Queens,Manhattan,561,662,FALSE,FALSE,0
585,0.487254025,8,0,Queens,Manhattan,583,664,FALSE,FALSE,0
614,0.493048128,9,1,Queens,Stony,609,665,FALSE,FALSE,0
643,0.500717949,9,0,Stony,Queens,638,670,FALSE,FALSE,0
676,0.4927337,0,0,Stony,Jones,669,724,FALSE,TRUE,672
623,0.496411988,7,1,Stony,Jones,619,694,FALSE,TRUE,674
637,0.500621633,8,0,Queens,Stony,632,676,FALSE,FALSE,0
681,0.493745113,0,0,Queens,Manhattan,676,788,TRUE,FALSE,0
639,0.500621633,9,1,Queens,Stony,633,678,FALSE,FALSE,0
632,0.498334721,9,1,Stony,Jones,627,681,FALSE,FALSE,0
574,0.486230248,9,1,Manhattan,Queens,574,683,FALSE,FALSE,0
611,0.490174908,8,1,Manhattan,Jones,606,683,FALSE,FALSE,0
626,0.497260851,8,0,Manhattan,Queens,623,684,FALSE,FALSE,0
645,0.500717949,9,1,Manhattan,Jones,640,684,FALSE,FALSE,0
664,0.492756499,6,1,Queens,Stony,658,697,FALSE,TRUE,684
618,0.493048128,8,1,Manhattan,Queens,612,698,FALSE,TRUE,687
595,0.48912561,8,1,Manhattan,Queens,590,689,FALSE,FALSE,0
613,0.492070296,8,0,Manhattan,Queens,608,691,FALSE,FALSE,0
665,0.492782282,7,1,Manhattan,Jones,660,706,FALSE,TRUE,693
668,0.492807882,2,1,Queens,Manhattan,662,774,FALSE,TRUE,693
661,0.491924227,8,1,Stony,Queens,654,694,FALSE,FALSE,0
634,0.498334721,6,1,Queens,Manhattan,628,727,FALSE,TRUE,697
651,0.498977923,9,0,Stony,Queens,644,697,FALSE,FALSE,0
671,0.493606138,8,0,Stony,Queens,664,697,FALSE,FALSE,0
648,0.499897604,9,0,Stony,Queens,641,698,FALSE,FALSE,0
660,0.493574297,8,0,Manhattan,Jones,652,698,FALSE,FALSE,0
644,0.500717949,9,0,Manhattan,Jones,639,700,FALSE,FALSE,0
638,0.500621633,8,1,Manhattan,Queens,633,701,FALSE,FALSE,0
647,0.499897604,8,0,Jones,Stony,641,702,FALSE,FALSE,0
625,0.497260851,8,1,Stony,Jones,622,703,FALSE,FALSE,0
631,0.49916318,8,0,Stony,Jones,624,703,FALSE,FALSE,0
646,0.499897604,8,1,Manhattan,Jones,641,704,FALSE,FALSE,0
662,0.492733426,5,1,Manhattan,Queens,655,753,FALSE,TRUE,704
670,0.493606138,9,1,Queens,Stony,664,710,FALSE,TRUE,709
682,0.493745113,2,1,Manhattan,Queens,677,791,FALSE,TRUE,709
653,0.498875945,9,1,Jones,Stony,645,715,FALSE,TRUE,711
663,0.492733426,8,1,Jones,Manhattan,656,711,FALSE,FALSE,0
684,0.492878049,2,1,Manhattan,Queens,680,786,FALSE,TRUE,711
649,0.498977923,8,1,Manhattan,Jones,644,712,FALSE,FALSE,0
708,0.487169882,0,0,Manhattan,Queens,711,772,TRUE,FALSE,0
641,0.501334976,8,0,Jones,Manhattan,637,713,FALSE,FALSE,0
658,0.493574297,8,0,Manhattan,Jones,650,715,FALSE,FALSE,0
628,0.497260851,9,1,Jones,Stony,623,716,FALSE,FALSE,0
675,0.4927337,6,1,Manhattan,Queens,669,740,FALSE,TRUE,717
652,0.498875945,8,0,Queens,Manhattan,645,718,FALSE,FALSE,0
685,0.492878049,9,1,Stony,Queens,680,718,FALSE,FALSE,0
704,0.489922773,2,0,Manhattan,Jones,707,771,FALSE,TRUE,721
650,0.498977923,8,0,Jones,Stony,644,722,FALSE,FALSE,0
683,0.492878049,8,1,Queens,Stony,679,729,FALSE,TRUE,723
699,0.488545246,2,0,Manhattan,Queens,697,792,FALSE,TRUE,723
669,0.493606138,8,1,Manhattan,Jones,664,725,FALSE,FALSE,0
673,0.4927337,8,0,Jones,Stony,666,725,FALSE,FALSE,0
686,0.492014024,8,1,Queens,Stony,681,725,FALSE,FALSE,0
636,0.499792445,9,0,Stony,Jones,630,726,FALSE,FALSE,0
621,0.496280553,8,1,Manhattan,Queens,616,728,FALSE,FALSE,0
688,0.489756475,3,1,Manhattan,Queens,685,795,FALSE,TRUE,728
674,0.4927337,9,0,Manhattan,Queens,668,731,FALSE,FALSE,0
694,0.488188976,9,0,Stony,Queens,693,731,FALSE,FALSE,0
633,0.498334721,9,0,Manhattan,Queens,628,732,FALSE,FALSE,0
654,0.496239073,8,1,Manhattan,Queens,646,732,FALSE,FALSE,0
689,0.489756475,6,1,Queens,Manhattan,685,762,FALSE,TRUE,735
715,0.486561631,2,0,Stony,Jones,718,802,FALSE,TRUE,735
635,0.499792445,9,1,Manhattan,Queens,630,736,FALSE,FALSE,0
630,0.49916318,8,1,Queens,Manhattan,624,737,FALSE,FALSE,0
672,0.4927337,8,1,Queens,Manhattan,665,738,FALSE,FALSE,0
677,0.4936287,9,0,Jones,Stony,671,738,FALSE,FALSE,0
642,0.500717949,9,0,Queens,Manhattan,638,742,FALSE,FALSE,0
707,0.488909774,8,0,Queens,Stony,710,754,FALSE,TRUE,746
678,0.4936287,9,1,Jones,Stony,672,748,FALSE,FALSE,0
687,0.492014024,8,0,Manhattan,Queens,682,761,FALSE,TRUE,748
690,0.489756475,8,0,Manhattan,Jones,686,748,FALSE,FALSE,0
701,0.489922773,8,1,Manhattan,Jones,704,748,FALSE,FALSE,0
714,0.486612123,4,1,Queens,Manhattan,717,797,FALSE,TRUE,749
706,0.488909774,9,1,Jones,Manhattan,709,751,FALSE,FALSE,0
709,0.487169882,9,1,Queens,Stony,711,752,FALSE,FALSE,0
713,0.486612123,3,1,Manhattan,Queens,717,825,FALSE,TRUE,752
698,0.487440077,9,0,Jones,Stony,696,757,FALSE,FALSE,0
680,0.492952232,9,1,Stony,Jones,675,764,FALSE,TRUE,758
691,0.488246628,9,0,Queens,Manhattan,689,758,FALSE,FALSE,0
693,0.488188976,8,1,Manhattan,Jones,693,758,FALSE,FALSE,0
655,0.494949495,9,0,Manhattan,Queens,647,759,FALSE,FALSE,0
656,0.494949495,9,1,Manhattan,Queens,649,759,FALSE,FALSE,0
692,0.489034244,9,0,Manhattan,Jones,692,763,FALSE,FALSE,0
702,0.489922773,9,1,Manhattan,Jones,705,764,FALSE,FALSE,0
697,0.487440077,9,0,Jones,Stony,695,765,FALSE,FALSE,0
666,0.49190683,9,1,Manhattan,Queens,661,766,FALSE,FALSE,0
700,0.49019981,6,1,Queens,Manhattan,699,796,FALSE,TRUE,766
679,0.492952232,9,0,Queens,Manhattan,674,768,FALSE,FALSE,0
667,0.49190683,9,0,Queens,Manhattan,661,770,FALSE,FALSE,0
695,0.487440077,9,0,Queens,Manhattan,694,779,FALSE,FALSE,0
696,0.487440077,8,1,Jones,Stony,694,784,FALSE,FALSE,0
703,0.489922773,8,1,Queens,Manhattan,706,788,FALSE,FALSE,0
711,0.487155622,8,1,Manhattan,Jones,716,791,FALSE,FALSE,0
712,0.487155622,8,1,Queens,Manhattan,716,793,FALSE,FALSE,0
716,0.486561631,9,1,Jones,Stony,719,794,FALSE,FALSE,0
705,0.489922773,8,1,Manhattan,Queens,708,810,FALSE,FALSE,0
710,0.486440995,9,1,Manhattan,Queens,712,817,FALSE,FALSE,0
